Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
1306,0.0945 2.40 mm 118D FIREX    GUHR CARB GP 5XD JBR DRL,62992870,,,MSC,9.02E+12,GUHRING,14.28
1307,0.1875 3/16X3/16X3/4X3 ALTIN    ACCUPRO SC 4F HP FNSHR,84327980,,,MSC,446L1875C11,ACCUPRO,32.97
1308,CAT50 Retention Knobs,,RETENTION KNOBS,,,,Unknown,0
1309,Holder - mdjnr124b,64922578,TOOL HOLDERS,,Central,,MSC,0
1310,Aluminum Facemill Inserts,,INSERTS,,Central,BDGT11T304FRAL-WIDIA,UNKNOWN,0
1311,Steel Facemill Inserts,,INSERTS,,Central,BDMT11T308ERML-WIDIA,Widia,0
1312,Hand Lathe-3/32 18DEG RH HG120CO HERTEL CARB CUTOFF INSERT,42665737,,,MSC,HC094R18HG120CO,HERTEL,13.07
1313,0.3750 3/8X3/8X1X2-1/2 ACCUPRO SC 5FL ALTIN RGHR,93262467,,,MSC,R5303750C11,ACCUPRO,80.32
1314,"WNxx 43x 1"""" SHANK HOLDER",,TOOL HOLDERS,,Central,,MSC,0
1315,0.0984 2.50 mm X 3 X 12 X 38MM 3FL CARB SEM,65772154,,,MSC,,,16.95
1316,0.1654 4.20 mm GUH 1452 C2 GS 200 3-FLUTE DR. BRT. 2,85972339,,,MSC,,,36.06
1317,.2845 STR.SH.STR.FLUTE USA HS DECIMAL REAMER,72028459,Milling,ChamferMills,MSC,,,43.08
1318,"0.5000 1/2"""" 118D HERTEL BRITE HSS JBR DR",85703635,,,MSC,,,9.91
1319,0.5118 13.00 mm STR SHK STR FL USA HSS CHUCKING REAMER,2297307,IndexableCuttingTools,Replaceable-TipDrills,MSC,,,38.01
1320,0.1575 4.00 mm JHP951040F2R050.3Z4 SIRA CARB CHAMFER SEM,42717348,,,MSC,,,58.34
1321,0.0787 2.00 mm 2X6X2X5 .5 MEGA-64 JABRO SC 4FL EXT CR EM,40248403,,,MSC,,,59.22
1322,"0.5000 1/2"""" 6FL CARBIDE KEYSEAT CUTTER 988970",65526857,,,MSC,,,96.26
